Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Admin_Unit_Name,Month,Month_Name,Season,Observation_Time_Bin,Distance_Approx_m,Watchlist_Flag
ANTI,ANTI-1,ANTI Site 2,ANTI-P04,Forest,2023,2023-04-08,06:40:00,06:50:00,M. Okafor,1,7.5-10 min,Calling,> 100 Meters,False,Undetermined,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,69.0,74.0,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,2,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),125.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P06,Forest,2023,2023-05-17,07:50:00,07:59:00,M. Okafor,2,2.5-5 min,Calling,> 100 Meters,False,Male,Bobolink,Dolichonyx oryzivorus,179462,NPS-BOBO,BOBO,True,True,71.6,53.0,Fog/Mist,Light breeze (4-7 mph),Slight effect on count,7,Antietam National Battlefield,5,May,Spring,Morning (7-9am),125.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 1,ANTI-P07,Forest,2022,2022-04-26,09:10:00,09:18:00,L. Martin,1,7.5-10 min,Calling,50 - 100 Meters,False,Female,Carolina Wren,Thryothorus ludovicianus,178447,NPS-CARW,CARW,False,True,81.8,57.0,Clear,Gentle breeze (8-12 mph),No effect on count,3,Antietam National Battlefield,4,Apr,Spring,Late Morning (9-11am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P06,Forest,2021,2021-04-08,05:00:00,05:10:00,L. Martin,1,2.5-5 min,Singing,50 - 100 Meters,False,Undetermined,Bobolink,Dolichonyx oryzivorus,179462,NPS-BOBO,BOBO,True,True,67.6,60.0,Clear,Light air (1-3 mph),Moderate effect on count,3,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),75.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P06,Forest,2022,2022-04-14,07:40:00,07:49:00,S. Patel,1,7.5-10 min,Singing,50 - 100 Meters,True,Male,Bobolink,Dolichonyx oryzivorus,179462,NPS-BOBO,BOBO,True,True,66.8,49.0,Light Rain,Light breeze (4-7 mph),Moderate effect on count,3,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 1,ANTI-P03,Forest,2022,2022-05-18,08:45:00,08:53:00,K. Osei,2,0-2.5 min,Visualization,> 100 Meters,False,Undetermined,Yellow Warbler,Setophaga petechia,178911,NPS-YEWA,YEWA,False,False,62.2,50.0,Partly Cloudy,Light air (1-3 mph),Slight effect on count,5,Antietam National Battlefield,5,May,Spring,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P07,Forest,2021,2021-05-07,09:40:00,09:51:00,J. Chen,3,7.5-10 min,Visualization,<= 50 Meters,False,Male,Tufted Titmouse,Baeolophus bicolor,178420,NPS-TUTI,TUTI,False,False,91.2,42.0,Partly Cloudy,Light breeze (4-7 mph),No effect on count,2,Antietam National Battlefield,5,May,Spring,Late Morning (9-11am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P04,Forest,2022,2022-04-15,05:40:00,05:48:00,R. Fischer,3,7.5-10 min,Non-vocal,50 - 100 Meters,False,Male,Wood Thrush,Hylocichla mustelina,178353,NPS-WOTH,WOTH,True,True,63.6,67.0,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,2,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),75.0,At-Risk (Watchlist)
ANTI,ANTI-2,ANTI Site 3,ANTI-P05,Forest,2021,2021-04-07,08:30:00,08:41:00,A. Rivera,3,7.5-10 min,Non-vocal,> 100 Meters,False,Male,Indigo Bunting,Passerina cyanea,179328,NPS-INBU,INBU,False,True,61.9,43.0,Light Rain,Light air (1-3 mph),Moderate effect on count,1,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P02,Forest,2023,2023-07-17,08:30:00,08:41:00,A. Rivera,1,2.5-5 min,Calling,<= 50 Meters,False,Female,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,66.0,62.0,Fog/Mist,Calm (< 1 mph) smoke rises vertically,Slight effect on count,3,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),25.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 3,ANTI-P04,Forest,2022,2022-06-10,08:15:00,08:24:00,R. Fischer,1,7.5-10 min,Visualization,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179218,NPS-FISP,FISP,True,True,59.6,54.0,Fog/Mist,Calm (< 1 mph) smoke rises vertically,No effect on count,4,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 2,ANTI-P07,Forest,2021,2021-06-01,06:30:00,06:40:00,R. Fischer,1,7.5-10 min,Non-vocal,<= 50 Meters,True,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,179226,NPS-GRSP,GRSP,True,True,68.6,77.0,Cloudy/Overcast,Light breeze (4-7 mph),Slight effect on count,2,Antietam National Battlefield,6,Jun,Summer,Early Morning (<7am),25.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 2,ANTI-P04,Forest,2024,2024-07-22,09:50:00,09:58:00,S. Patel,3,5-7.5 min,Visualization,> 100 Meters,False,Undetermined,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,58.3,49.0,Fog/Mist,Light breeze (4-7 mph),Slight effect on count,2,Antietam National Battlefield,7,Jul,Summer,Late Morning (9-11am),125.0,Not Listed
ANTI,ANTI-1,ANTI Site 2,ANTI-P02,Forest,2021,2021-06-04,09:45:00,09:53:00,L. Martin,2,5-7.5 min,Calling,<= 50 Meters,False,Male,Downy Woodpecker,Dryobates pubescens,178196,NPS-DOWO,DOWO,False,False,79.8,65.0,Light Rain,Calm (< 1 mph) smoke rises vertically,No effect on count,5,Antietam National Battlefield,6,Jun,Summer,Late Morning (9-11am),25.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P03,Forest,2024,2024-06-12,08:20:00,08:28:00,A. Rivera,1,7.5-10 min,Non-vocal,50 - 100 Meters,False,Male,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,70.9,47.0,Clear,Light air (1-3 mph),Slight effect on count,4,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 2,ANTI-P07,Forest,2021,2021-06-15,05:00:00,05:09:00,A. Rivera,3,5-7.5 min,Calling,> 100 Meters,False,Undetermined,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,58.0,35.0,Clear,Calm (< 1 mph) smoke rises vertically,Slight effect on count,4,Antietam National Battlefield,6,Jun,Summer,Early Morning (<7am),125.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P01,Forest,2024,2024-04-18,05:40:00,05:50:00,K. Osei,1,5-7.5 min,Non-vocal,<= 50 Meters,False,Male,Northern Cardinal,Cardinalis cardinalis,179263,NPS-NOCA,NOCA,False,False,69.8,67.0,Clear,Calm (< 1 mph) smoke rises vertically,No effect on count,2,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),25.0,Not Listed
ANTI,ANTI-3,ANTI Site 2,ANTI-P02,Forest,2024,2024-06-27,09:50:00,09:58:00,A. Rivera,1,5-7.5 min,Visualization,50 - 100 Meters,False,Undetermined,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,62.6,71.0,Cloudy/Overcast,Light breeze (4-7 mph),No effect on count,4,Antietam National Battlefield,6,Jun,Summer,Late Morning (9-11am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 2,ANTI-P01,Forest,2024,2024-05-05,09:40:00,09:48:00,A. Rivera,1,7.5-10 min,Calling,> 100 Meters,False,Female,Wood Thrush,Hylocichla mustelina,178353,NPS-WOTH,WOTH,True,True,65.1,72.0,Clear,Light air (1-3 mph),No effect on count,2,Antietam National Battlefield,5,May,Spring,Late Morning (9-11am),125.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P05,Forest,2024,2024-04-11,09:30:00,09:39:00,S. Patel,3,0-2.5 min,Singing,50 - 100 Meters,False,Female,Grasshopper Sparrow,Ammodramus savannarum,179226,NPS-GRSP,GRSP,True,True,66.5,64.0,Fog/Mist,Light air (1-3 mph),Moderate effect on count,4,Antietam National Battlefield,4,Apr,Spring,Late Morning (9-11am),75.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P07,Forest,2022,2022-04-04,09:10:00,09:21:00,T. Nguyen,2,2.5-5 min,Non-vocal,<= 50 Meters,False,Male,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,76.6,47.0,Cloudy/Overcast,Light air (1-3 mph),Slight effect on count,3,Antietam National Battlefield,4,Apr,Spring,Late Morning (9-11am),25.0,Not Listed
ANTI,ANTI-3,ANTI Site 2,ANTI-P03,Forest,2021,2021-04-03,07:15:00,07:25:00,K. Osei,2,7.5-10 min,Visualization,50 - 100 Meters,False,Undetermined,Barn Swallow,Hirundo rustica,178576,NPS-BARS,BARS,False,False,65.7,62.0,Clear,Gentle breeze (8-12 mph),Moderate effect on count,4,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P04,Forest,2023,2023-06-15,06:45:00,06:53:00,M. Okafor,2,0-2.5 min,Visualization,<= 50 Meters,False,Undetermined,Red-winged Blackbird,Agelaius phoeniceus,179466,NPS-RWBL,RWBL,False,False,61.2,69.0,Fog/Mist,Gentle breeze (8-12 mph),No effect on count,1,Antietam National Battlefield,6,Jun,Summer,Early Morning (<7am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P03,Forest,2022,2022-07-20,09:20:00,09:29:00,K. Osei,2,2.5-5 min,Singing,> 100 Meters,False,Male,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,62.2,37.0,Fog/Mist,Light breeze (4-7 mph),Slight effect on count,6,Antietam National Battlefield,7,Jul,Summer,Late Morning (9-11am),125.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 2,ANTI-P03,Forest,2021,2021-06-05,07:45:00,07:56:00,A. Rivera,3,7.5-10 min,Singing,50 - 100 Meters,False,Female,Bobolink,Dolichonyx oryzivorus,179462,NPS-BOBO,BOBO,True,True,60.2,46.0,Cloudy/Overcast,Gentle breeze (8-12 mph),No effect on count,2,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 1,ANTI-P02,Forest,2022,2022-04-07,09:50:00,09:58:00,L. Martin,3,7.5-10 min,Visualization,50 - 100 Meters,False,Female,American Goldfinch,Spinus tristis,179243,NPS-AMGO,AMGO,False,False,73.1,51.0,Cloudy/Overcast,Light breeze (4-7 mph),Moderate effect on count,2,Antietam National Battlefield,4,Apr,Spring,Late Morning (9-11am),75.0,Not Listed
ANTI,ANTI-2,ANTI Site 2,ANTI-P06,Forest,2024,2024-06-02,08:15:00,08:25:00,T. Nguyen,2,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,179226,NPS-GRSP,GRSP,True,True,71.2,65.0,Light Rain,Light breeze (4-7 mph),Slight effect on count,7,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 2,ANTI-P02,Forest,2022,2022-04-01,06:15:00,06:23:00,J. Chen,3,5-7.5 min,Visualization,> 100 Meters,False,Undetermined,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,62.8,68.0,Light Rain,Light breeze (4-7 mph),Moderate effect on count,2,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),125.0,Not Listed
ANTI,ANTI-2,ANTI Site 3,ANTI-P06,Forest,2022,2022-07-21,08:50:00,09:00:00,S. Patel,2,5-7.5 min,Non-vocal,50 - 100 Meters,False,Female,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,58.7,55.0,Light Rain,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,1,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),75.0,At-Risk (Watchlist)
ANTI,ANTI-2,ANTI Site 1,ANTI-P06,Forest,2021,2021-05-23,08:50:00,09:00:00,R. Fischer,1,0-2.5 min,Visualization,50 - 100 Meters,False,Undetermined,American Goldfinch,Spinus tristis,179243,NPS-AMGO,AMGO,False,False,54.8,40.0,Partly Cloudy,Gentle breeze (8-12 mph),Slight effect on count,5,Antietam National Battlefield,5,May,Spring,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 1,ANTI-P01,Forest,2024,2024-04-01,05:15:00,05:26:00,T. Nguyen,1,7.5-10 min,Calling,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179269,NPS-EATO,EATO,True,True,59.7,63.0,Cloudy/Overcast,Light air (1-3 mph),Moderate effect on count,5,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),25.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 1,ANTI-P02,Forest,2023,2023-04-21,07:40:00,07:51:00,T. Nguyen,3,7.5-10 min,Singing,> 100 Meters,False,Male,American Goldfinch,Spinus tristis,179243,NPS-AMGO,AMGO,False,False,59.7,23.0,Fog/Mist,Light air (1-3 mph),Slight effect on count,4,Antietam National Battlefield,4,Apr,Spring,Morning (7-9am),125.0,Not Listed
ANTI,ANTI-2,ANTI Site 1,ANTI-P01,Forest,2023,2023-05-22,07:50:00,08:00:00,M. Okafor,1,0-2.5 min,Calling,<= 50 Meters,False,Female,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,65.3,57.0,Clear,Light air (1-3 mph),Slight effect on count,6,Antietam National Battlefield,5,May,Spring,Morning (7-9am),25.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P07,Forest,2024,2024-06-24,06:20:00,06:29:00,M. Okafor,2,7.5-10 min,Visualization,<= 50 Meters,False,Female,Song Sparrow,Melospiza melodia,179231,NPS-SOSP,SOSP,False,False,67.9,46.0,Fog/Mist,Light breeze (4-7 mph),No effect on count,3,Antietam National Battlefield,6,Jun,Summer,Early Morning (<7am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P05,Forest,2022,2022-07-07,06:15:00,06:23:00,K. Osei,1,7.5-10 min,Calling,<= 50 Meters,False,Male,Wood Thrush,Hylocichla mustelina,178353,NPS-WOTH,WOTH,True,True,87.1,66.0,Cloudy/Overcast,Light air (1-3 mph),No effect on count,5,Antietam National Battlefield,7,Jul,Summer,Early Morning (<7am),25.0,At-Risk (Watchlist)
ANTI,ANTI-2,ANTI Site 1,ANTI-P02,Forest,2022,2022-06-09,09:45:00,09:55:00,T. Nguyen,1,7.5-10 min,Calling,<= 50 Meters,True,Female,Red-tailed Hawk,Buteo jamaicensis,175350,NPS-RTHA,RTHA,False,False,75.6,26.0,Fog/Mist,Light air (1-3 mph),No effect on count,1,Antietam National Battlefield,6,Jun,Summer,Late Morning (9-11am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P03,Forest,2021,2021-07-04,08:20:00,08:31:00,L. Martin,1,0-2.5 min,Singing,50 - 100 Meters,False,Male,Northern Cardinal,Cardinalis cardinalis,179263,NPS-NOCA,NOCA,False,False,60.2,46.0,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,3,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P07,Forest,2022,2022-05-15,08:20:00,08:31:00,S. Patel,1,2.5-5 min,Calling,> 100 Meters,False,Undetermined,Grasshopper Sparrow,Ammodramus savannarum,179226,NPS-GRSP,GRSP,True,True,77.0,25.0,Clear,Calm (< 1 mph) smoke rises vertically,Slight effect on count,3,Antietam National Battlefield,5,May,Spring,Morning (7-9am),125.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 2,ANTI-P05,Forest,2021,2021-05-04,05:50:00,05:58:00,L. Martin,2,0-2.5 min,Calling,> 100 Meters,True,Female,Eastern Towhee,Pipilo erythrophthalmus,179269,NPS-EATO,EATO,True,True,74.2,72.0,Fog/Mist,Light air (1-3 mph),No effect on count,3,Antietam National Battlefield,5,May,Spring,Early Morning (<7am),125.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 2,ANTI-P06,Forest,2024,2024-07-27,09:15:00,09:24:00,A. Rivera,2,2.5-5 min,Singing,50 - 100 Meters,False,Female,American Robin,Turdus migratorius,178396,NPS-AMRO,AMRO,False,False,59.9,90.0,Fog/Mist,Light air (1-3 mph),Moderate effect on count,3,Antietam National Battlefield,7,Jul,Summer,Late Morning (9-11am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 1,ANTI-P06,Forest,2021,2021-07-01,08:15:00,08:24:00,J. Chen,3,5-7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179269,NPS-EATO,EATO,True,True,63.6,40.0,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,4,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),25.0,At-Risk (Watchlist)
ANTI,ANTI-2,ANTI Site 3,ANTI-P01,Forest,2022,2022-04-25,05:30:00,05:41:00,S. Patel,2,0-2.5 min,Calling,50 - 100 Meters,False,Female,Barn Swallow,Hirundo rustica,178576,NPS-BARS,BARS,False,False,68.1,63.0,Light Rain,Gentle breeze (8-12 mph),No effect on count,3,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),75.0,Not Listed
ANTI,ANTI-1,ANTI Site 3,ANTI-P06,Forest,2021,2021-04-17,05:10:00,05:21:00,K. Osei,1,2.5-5 min,Non-vocal,50 - 100 Meters,False,Undetermined,Song Sparrow,Melospiza melodia,179231,NPS-SOSP,SOSP,False,False,68.3,47.0,Clear,Calm (< 1 mph) smoke rises vertically,Moderate effect on count,4,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P07,Forest,2022,2022-06-12,07:50:00,07:58:00,K. Osei,3,0-2.5 min,Singing,50 - 100 Meters,False,Female,Downy Woodpecker,Dryobates pubescens,178196,NPS-DOWO,DOWO,False,False,64.8,63.0,Light Rain,Light breeze (4-7 mph),Slight effect on count,3,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P05,Forest,2024,2024-06-11,07:30:00,07:38:00,L. Martin,3,7.5-10 min,Visualization,<= 50 Meters,False,Male,Scarlet Tanager,Piranga olivacea,179317,NPS-SCTA,SCTA,True,False,46.6,65.0,Partly Cloudy,Light air (1-3 mph),Moderate effect on count,1,Antietam National Battlefield,6,Jun,Summer,Morning (7-9am),25.0,At-Risk (Watchlist)
ANTI,ANTI-3,ANTI Site 2,ANTI-P07,Forest,2022,2022-04-06,09:50:00,09:59:00,T. Nguyen,2,0-2.5 min,Singing,50 - 100 Meters,False,Female,Tufted Titmouse,Baeolophus bicolor,178420,NPS-TUTI,TUTI,False,False,67.3,60.0,Partly Cloudy,Light air (1-3 mph),Moderate effect on count,4,Antietam National Battlefield,4,Apr,Spring,Late Morning (9-11am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 1,ANTI-P04,Forest,2021,2021-05-05,06:40:00,06:48:00,T. Nguyen,1,2.5-5 min,Calling,<= 50 Meters,True,Male,Red-winged Blackbird,Agelaius phoeniceus,179466,NPS-RWBL,RWBL,False,False,73.3,45.0,Clear,Calm (< 1 mph) smoke rises vertically,Slight effect on count,4,Antietam National Battlefield,5,May,Spring,Early Morning (<7am),25.0,Not Listed
ANTI,ANTI-1,ANTI Site 2,ANTI-P01,Forest,2021,2021-07-07,08:40:00,08:49:00,K. Osei,1,0-2.5 min,Visualization,50 - 100 Meters,False,Male,Song Sparrow,Melospiza melodia,179231,NPS-SOSP,SOSP,False,False,67.9,56.0,Light Rain,Gentle breeze (8-12 mph),Moderate effect on count,6,Antietam National Battlefield,7,Jul,Summer,Morning (7-9am),75.0,Not Listed
ANTI,ANTI-3,ANTI Site 2,ANTI-P01,Forest,2023,2023-05-15,07:10:00,07:18:00,L. Martin,1,7.5-10 min,Singing,<= 50 Meters,False,Female,Blue Jay,Cyanocitta cristata,179738,NPS-BLJA,BLJA,False,False,65.5,75.0,Light Rain,Light air (1-3 mph),No effect on count,3,Antietam National Battlefield,5,May,Spring,Morning (7-9am),25.0,Not Listed
ANTI,ANTI-3,ANTI Site 3,ANTI-P03,Forest,2021,2021-07-20,05:20:00,05:29:00,T. Nguyen,2,5-7.5 min,Singing,<= 50 Meters,False,Male,Wood Thrush,Hylocichla mustelina,178353,NPS-WOTH,WOTH,True,True,62.0,65.0,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,4,Antietam National Battlefield,7,Jul,Summer,Early Morning (<7am),25.0,At-Risk (Watchlist)
ANTI,ANTI-2,ANTI Site 1,ANTI-P02,Forest,2024,2024-04-24,05:45:00,05:54:00,K. Osei,1,2.5-5 min,Non-vocal,> 100 Meters,False,Male,Grasshopper Sparrow,Ammodramus savannarum,179226,NPS-GRSP,GRSP,True,True,83.1,57.0,Clear,Light air (1-3 mph),Slight effect on count,2,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),125.0,At-Risk (Watchlist)
ANTI,ANTI-1,ANTI Site 2,ANTI-P02,Forest,2024,2024-04-05,06:45:00,06:53:00,L. Martin,3,0-2.5 min,Non-vocal,> 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179218,NPS-FISP,FISP,True,True,69.7,73.0,Partly Cloudy,Light air (1-3 mph),Moderate effect on count,3,Antietam National Battlefield,4,Apr,Spring,Early Morning (<7am),125.0,At-Risk (Watchlist)
